year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,95,189.0,Washington,20,Southern,Mostly Rural,73.6,1828,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,54.7,,54.7,,54.7,,,,,,54.7,54.7,,
1993,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,7446,1.0,7.0,,7.0,,,6.0,,1.0,,,7.0,2.0,5.0,1.0,13.4,94.0,,94.0,,,80.6,,13.4,,,94.0,26.9,67.2,13.4
1993,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,50335,12.0,29.0,4.0,25.0,4.0,5.0,12.0,2.0,5.0,20.0,5.0,4.0,1.0,28.0,5.0,23.8,57.6,7.9,49.7,7.9,9.9,23.8,4.0,9.9,39.7,9.9,7.9,2.0,55.6,9.9
1993,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,6445,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,31.0
1993,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,30253,7.0,40.0,9.0,31.0,1.0,14.0,17.0,4.0,3.0,20.0,3.0,17.0,6.0,34.0,8.0,23.1,132.2,29.7,102.5,3.3,46.3,56.2,13.2,9.9,66.1,9.9,56.2,19.8,112.4,26.4
1993,102,203.0,Woodford,11,Central,Mostly Rural,54.9,4447,2.0,3.0,1.0,2.0,,1.0,1.0,1.0,,,,3.0,,3.0,,45.0,67.5,22.5,45.0,,22.5,22.5,22.5,,,,67.5,,67.5,
1994,1,1.0,Adams,8,Central,Mostly Urban,32.6,7908,3.0,11.0,,11.0,,5.0,5.0,1.0,,5.0,,6.0,2.0,9.0,1.0,37.9,139.1,,139.1,,63.2,63.2,12.6,,63.2,,75.9,25.3,113.8,12.6
1994,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,1261,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,79.3,79.3,,,79.3,,,,79.3,,,,79.3,
1994,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,4540,3.0,5.0,,5.0,,1.0,2.0,1.0,1.0,,1.0,4.0,,5.0,2.0,66.1,110.1,,110.1,,22.0,44.1,22.0,22.0,,22.0,88.1,,110.1,44.1
1994,6,11.0,Bureau,13,Central,Mostly Rural,57.4,4391,3.0,5.0,,5.0,,1.0,3.0,1.0,,,,5.0,,5.0,,68.3,113.9,,113.9,,22.8,68.3,22.8,,,,113.9,,113.9,
1994,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,2042,3.0,7.0,,7.0,1.0,2.0,2.0,2.0,,,1.0,6.0,,7.0,1.0,146.9,342.8,,342.8,49.0,97.9,97.9,97.9,,,49.0,293.8,,342.8,49.0
1994,9,17.0,Cass,8,Central,Mostly Rural,52.1,1612,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,1.0,62.0,124.1,,124.1,,,124.1,,,,,124.1,,124.1,62.0
1994,10,19.0,Champaign,6,Central,Mostly Urban,12.7,15589,,28.0,1.0,27.0,4.0,9.0,10.0,1.0,3.0,20.0,,8.0,6.0,22.0,4.0,,179.6,6.4,173.2,25.7,57.7,64.1,6.4,19.2,128.3,,51.3,38.5,141.1,25.7
1994,11,21.0,Christian,4,Central,Mostly Urban,43.5,4014,2.0,5.0,,5.0,,1.0,4.0,,,,,5.0,1.0,4.0,2.0,49.8,124.6,,124.6,,24.9,99.7,,,,,124.6,24.9,99.7,49.8
1994,13,25.0,Clay,4,Southern,Mostly Rural,64.7,1664,1.0,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,60.1,120.2,,120.2,,,120.2,,,,,120.2,120.2,,
1994,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,4236,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,23.6,23.6,,23.6,,,23.6,,,,,23.6,,23.6,23.6
1994,15,29.0,Coles,5,Central,Mostly Urban,24.3,4936,7.0,10.0,,10.0,,2.0,8.0,,,,,10.0,,10.0,,141.8,202.6,,202.6,,40.5,162.1,,,,,202.6,,202.6,
1994,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,572038,10.0,475.0,128.0,347.0,82.0,204.0,120.0,19.0,46.0,344.0,84.0,42.0,9.0,466.0,33.0,1.7,83.0,22.4,60.7,14.3,35.7,21.0,3.3,8.0,60.1,14.7,7.3,1.6,81.5,5.8
1994,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,2349,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,42.6,,42.6,,,42.6,,,,,42.6,,42.6,
1994,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,1378,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,,72.6,145.1,,145.1,,,145.1,,,,,145.1,,145.1,
1994,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,7921,2.0,6.0,,6.0,,1.0,5.0,,,2.0,,4.0,3.0,3.0,,25.2,75.7,,75.7,,12.6,63.1,,,25.2,,50.5,37.9,37.9,
1994,20,39.0,De Witt,6,Central,Mostly Urban,48.8,1950,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,51.3,,51.3,,,51.3,,,,,51.3,51.3,,
1994,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,95399,5.0,8.0,,8.0,,2.0,5.0,,,1.0,3.0,4.0,1.0,7.0,3.0,5.2,8.4,,8.4,,2.1,5.2,,,1.0,3.1,4.2,1.0,7.3,3.1
1994,23,45.0,Edgar,5,Central,Mostly Rural,51.8,2401,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,,41.6,83.3,41.6,41.6,,41.6,41.6,,,,,83.3,41.6,41.6,
1994,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,4237,,2.0,,2.0,,,2.0,,,,,2.0,1.0,1.0,1.0,,47.2,,47.2,,,47.2,,,,,47.2,23.6,23.6,23.6
1994,27,53.0,Ford,11,Central,Mostly Urban,41.8,1709,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,58.5,,58.5,,,58.5,,,,,58.5,,58.5,
1994,29,57.0,Fulton,9,Central,Mostly Rural,60.0,4362,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,22.9,,22.9,,,,22.9,,,,22.9,,22.9,22.9
1994,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,4392,2.0,2.0,,2.0,,1.0,1.0,,,,1.0,1.0,,2.0,,45.5,45.5,,45.5,,22.8,22.8,,,,22.8,22.8,,45.5,
1994,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,944,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,105.9,105.9,,105.9,,,105.9,,,,,105.9,,105.9,
1994,34,67.0,Hancock,9,Central,Mostly Rural,71.0,2553,1.0,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,39.2,39.2,,39.2,,,,39.2,,,,39.2,,39.2,
1994,35,69.0,Hardin,2,Southern,Completely Rural,100.0,542,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,184.5,184.5,,184.5,,,184.5,,,,,184.5,,184.5,
1994,37,73.0,Henry,14,Central,Mostly Rural,50.3,6428,,3.0,,3.0,,,2.0,1.0,,,1.0,2.0,,3.0,,,46.7,,46.7,,,31.1,15.6,,,15.6,31.1,,46.7,
