year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1989,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,54.0,7.0,,16.0,25.0,6.0,22.0,4.0,50.0,8.0,,,,,,,,,,
1989,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,,12.0,1.0,1.0,2.0,7.0,1.0,3.0,,12.0,1.0,,,,,,,,,,
1989,94,187.0,Warren,9,Central,Mostly Urban,45.5,,17.0,1.0,,2.0,12.0,2.0,4.0,3.0,14.0,1.0,,,,,,,,,,
1989,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,4.0,,,,4.0,,,,4.0,,,,,,,,,,,
1989,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,14.0,1.0,3.0,,7.0,3.0,3.0,,14.0,3.0,,,,,,,,,,
1989,97,193.0,White,2,Southern,Mostly Rural,62.0,,9.0,1.0,2.0,,4.0,2.0,2.0,,9.0,1.0,,,,,,,,,,
1989,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,88.0,30.0,3.0,6.0,45.0,4.0,10.0,8.0,80.0,3.0,,,,,,,,,,
1989,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,151.0,32.0,,67.0,43.0,9.0,76.0,11.0,140.0,18.0,,,,,,,,,,
1989,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,39.0,8.0,,10.0,16.0,5.0,15.0,1.0,38.0,10.0,,,,,,,,,,
1989,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,215.0,34.0,2.0,76.0,87.0,16.0,91.0,15.0,200.0,24.0,,,,,,,,,,
1989,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,7.0,,1.0,,4.0,2.0,2.0,1.0,6.0,2.0,,,,,,,,,,
