year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1995,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,,6.0,17.0,,17.0,,10.0,5.0,1.0,1.0,5.0,2.0,10.0,1.0,16.0,6.0,,,,,,,,,,,,,,,
1995,24,47.0,Edwards,2,Southern,Completely Rural,100.0,,,2.0,1.0,1.0,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,29,57.0,Fulton,9,Central,Mostly Rural,60.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,35,69.0,Hardin,2,Southern,Completely Rural,100.0,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,37,73.0,Henry,14,Central,Mostly Rural,50.3,,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
1995,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,,1.0,2.0,,2.0,1.0,,1.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,
1995,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,,2.0,3.0,,3.0,,2.0,1.0,,,3.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,
1995,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,,,2.0,,2.0,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,44,87.0,Johnson,1,Southern,Completely Rural,100.0,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,,3.0,34.0,5.0,29.0,3.0,13.0,12.0,2.0,4.0,10.0,16.0,5.0,1.0,33.0,17.0,,,,,,,,,,,,,,,
1995,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,,1.0,5.0,1.0,4.0,,1.0,2.0,,2.0,4.0,,1.0,,5.0,6.0,,,,,,,,,,,,,,,
1995,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,,,2.0,1.0,1.0,2.0,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
1995,48,95.0,Knox,9,Central,Mostly Urban,24.3,,,3.0,,3.0,,1.0,2.0,,,1.0,,2.0,,3.0,4.0,,,,,,,,,,,,,,,
1995,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,,9.0,26.0,1.0,25.0,2.0,3.0,16.0,,4.0,14.0,3.0,9.0,,26.0,13.0,,,,,,,,,,,,,,,
1995,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,,5.0,9.0,3.0,6.0,,2.0,5.0,2.0,,,1.0,8.0,,9.0,5.0,,,,,,,,,,,,,,,
