year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,cannabis_control_act,controlled_substance_act,drug_paraphernalia_control_act,hypodermic_syringes_and_neddles_act,methamphetamine,cannabis_control_act_rate,controlled_substance_act_rate,drug_paraphernalia_control_act_rate,hypodermic_syringes_and_neddles_act_rate,methamphetamine_rate
1976,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,45100,32.0,4.0,,,,71.0,8.9,,,
1976,72,143.0,Peoria,10,Central,Mostly Urban,14.6,201500,159.0,95.0,,,,78.9,47.1,,,
1976,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21200,19.0,5.0,,,,89.6,23.6,,,
1976,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16400,15.0,2.0,,,,91.5,12.2,,,
1976,75,149.0,Pike,8,Central,Mostly Rural,72.3,19500,25.0,9.0,,,,128.2,46.2,,,
1976,76,151.0,Pope,1,Southern,Completely Rural,100.0,4300,1.0,0.0,,,,23.3,0.0,,,
1976,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,9300,4.0,3.0,,,,43.0,32.3,,,
1976,78,155.0,Putnam,10,Central,Completely Rural,100.0,5600,1.0,0.0,,,,17.9,0.0,,,
1976,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,33800,23.0,11.0,,,,68.0,32.5,,,
1976,80,159.0,Richland,2,Southern,Mostly Urban,43.5,17700,18.0,1.0,,,,101.7,5.6,,,
1976,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,169000,282.0,107.0,,,,166.9,63.3,,,
1976,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,273400,307.0,49.0,,,,112.3,17.9,,,
1976,83,165.0,Saline,1,Southern,Mostly Urban,43.7,27200,7.0,5.0,,,,25.7,18.4,,,
1976,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,176300,144.0,113.0,,,,81.7,64.1,,,
1976,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8100,,0.0,,,,,0.0,,,
1976,86,171.0,Scott,7,Central,Completely Rural,100.0,6300,0.0,1.0,,,,0.0,15.9,,,
1976,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23700,17.0,2.0,,,,71.7,8.4,,,
1976,88,175.0,Stark,10,Central,Completely Rural,100.0,7200,8.0,2.0,,,,111.1,27.8,,,
1976,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48800,34.0,11.0,,,,69.7,22.5,,,
1976,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,128500,217.0,56.0,,,,168.9,43.6,,,
1976,91,181.0,Union,1,Southern,Mostly Rural,65.9,16600,3.0,0.0,,,,18.1,0.0,,,
1976,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,98200,50.0,50.0,,,,50.9,50.9,,,
1976,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13700,33.0,5.0,,,,240.9,36.5,,,
1976,94,187.0,Warren,9,Central,Mostly Urban,45.5,22200,18.0,16.0,,,,81.1,72.1,,,
1976,95,189.0,Washington,20,Southern,Mostly Rural,73.6,14700,0.0,8.0,,,,0.0,54.4,,,
1976,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17600,28.0,0.0,,,,159.1,0.0,,,
1976,97,193.0,White,2,Southern,Mostly Rural,62.0,17400,37.0,2.0,,,,212.6,11.5,,,
1976,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,65200,62.0,15.0,,,,95.1,23.0,,,
1976,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,299300,152.0,75.0,,,,50.8,25.1,,,
1976,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,53700,13.0,8.0,,,,24.2,14.9,,,
1976,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,246000,359.0,75.0,,,,145.9,30.5,,,
1976,102,203.0,Woodford,11,Central,Mostly Rural,54.9,30500,65.0,17.0,,,,213.1,55.7,,,
1977,1,1.0,Adams,8,Central,Mostly Urban,32.6,71300,67.0,18.0,,,,94.0,25.2,,,
1977,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12600,3.0,1.0,,,,23.8,7.9,,,
1977,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16000,24.0,2.0,,,,150.0,12.5,,,
1977,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,28000,35.0,4.0,,,,125.0,14.3,,,
1977,5,9.0,Brown,8,Central,Mostly Urban,41.1,5600,,0.0,,,,,0.0,,,
1977,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38200,4.0,1.0,,,,10.5,2.6,,,
1977,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5900,15.0,0.0,,,,254.2,0.0,,,
1977,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19300,12.0,2.0,,,,62.2,10.4,,,
1977,9,17.0,Cass,8,Central,Mostly Rural,52.1,15000,8.0,6.0,,,,53.3,40.0,,,
1977,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170700,77.0,50.0,,,,45.1,29.3,,,
1977,11,21.0,Christian,4,Central,Mostly Urban,43.5,37300,26.0,3.0,,,,69.7,8.0,,,
1977,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16600,3.0,1.0,,,,18.1,6.0,,,
1977,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15500,5.0,6.0,,,,32.3,38.7,,,
1977,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,31100,3.0,3.0,,,,9.6,9.6,,,
1977,15,29.0,Coles,5,Central,Mostly Urban,24.3,52700,13.0,13.0,,,,24.7,24.7,,,
1977,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5367300,10300.0,8109.0,,,,191.9,151.1,,,
1977,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20700,4.0,3.0,,,,19.3,14.5,,,
1977,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10900,8.0,2.0,,,,73.4,18.3,,,
1977,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73700,127.0,20.0,,,,172.3,27.1,,,
1977,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17900,12.0,5.0,,,,67.0,27.9,,,
